     * [https://www.spinics.net/lists/linux-8086/msg00672.html][PATCH] Final bits to compile using ia16-unknown-elks-gcc, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00667.html][PATCH] More separation of C and assembly functions, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00665.html][PATCH] Separation C and assembly functions to different files, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00666.html]Re: [PATCH] Separation C and assembly functions to different files, u-vpoa
     * [https://www.spinics.net/lists/linux-8086/msg00663.html][PATCH] Changes to reduce warnings using ia16-unknown-elks-gcc, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00664.html]Re: [PATCH] Changes to reduce warnings using ia16-unknown-elks-gcc, Juan Perez-Sanchez
               o [https://www.spinics.net/lists/linux-8086/msg00668.html]Re: [PATCH] Changes to reduce warnings using ia16-unknown-elks-gcc, Jody Bruchon
               o [https://www.spinics.net/lists/linux-8086/msg00669.html]Re: [PATCH] Changes to reduce warnings using ia16-unknown-elks-gcc, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00662.html]Resending [PATCH 4/5], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00661.html][PATCH 5/5] Removal of inline assembly in several functions, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00660.html][PATCH 4/5] Removal of ia16-unknown-elks-gcc warnings, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00659.html][PATCH 3/5] More removal of open-watcom warnings, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00657.html][PATCH 2/5] Removal of assembly file segment.c, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00656.html][PATCH 1/5] Fix errors and warnings by open-watcom, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00618.html][PATCH PROPOSAL] a.out.h port to 64 bits, MFLD
     * [https://www.spinics.net/lists/linux-8086/msg00616.html][PATCH PROPOSAL] Bcc: output an import directive on external function declaration, MFLD
     * [https://www.spinics.net/lists/linux-8086/msg00615.html][PATCH] Miscelaneous improvements to kernel, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00614.html][PATCH PROPOSAL] Bcc: Force initial .text directive, MFLD
     * [https://www.spinics.net/lists/linux-8086/msg00605.html][PATCH] elkscmd/file_utils/cp.c: add options -b, -n, -v, -u and updated usage, Nils Stec
          + [https://www.spinics.net/lists/linux-8086/msg00606.html]Re: [PATCH] elkscmd/file_utils/cp.c: add options -b, -n, -v, -u and updated usage, Jody Bruchon
               o [https://www.spinics.net/lists/linux-8086/msg00607.html]Re: [PATCH] elkscmd/file_utils/cp.c: add options -b, -n, -v, -u and updated usage, Nils Stec
               o [https://www.spinics.net/lists/linux-8086/msg00608.html]Re: [PATCH] elkscmd/file_utils/cp.c: add options -b, -n, -v, -u and updated usage, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00597.html][PATCH] Update .gitignore for ELKS, MFLD
          + [https://www.spinics.net/lists/linux-8086/msg00602.html]Re: [PATCH] Update .gitignore for ELKS, Jody Bruchon
               o [https://www.spinics.net/lists/linux-8086/msg00603.html]Re: [PATCH] Update .gitignore for ELKS, MFLD
     * [https://www.spinics.net/lists/linux-8086/msg00565.html][PATCH 5 OF 5] Code size reduction., Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00566.html]Re: [PATCH 5 OF 5] Code size reduction., Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00562.html][PATCH 2 OF 5] Fix for more command, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00561.html][PATCH 1 OF 5] Preparation for named pipes, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00559.html][PATCH] Microwindows 0.87 ELKS build patch, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00542.html][PATCH] Simplification of file structures initialization, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00543.html]Re: [PATCH] Simplification of file structures initialization, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00541.html][PATCH] Fix to exec syscall, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00539.html][PATCH] Fix to fdisk command, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00540.html]Re: [PATCH] Fix to fdisk command, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00538.html][PATCH] Fix a bug when processing backspaces, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00537.html][PATCH] Fix for write to an array past its size, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00536.html][PATCH] Fix for release of pipe buffers, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00534.html][PATCH] Simplification of inode initialization, Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00535.html]Re: [PATCH] Simplification of inode initialization, Jody Bruchon
     * [https://www.spinics.net/lists/linux-8086/msg00533.html][PATCH] Symlinks fixed, Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00530.html][PATCH 5 of 5], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00529.html][PATCH 4 of 5], Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00564.html][PATCH 4 OF 5], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00528.html][PATCH 3 of 5], Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00563.html][PATCH 3 OF 5], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00527.html][PATCH 2 of 5], Juan Perez-Sanchez
     * [https://www.spinics.net/lists/linux-8086/msg00526.html][PATCH 1 of 5], Juan Perez-Sanchez
          + [https://www.spinics.net/lists/linux-8086/msg00531.html]Re: [PATCH 1 of 5], Jody Bruchon
               o [https://www.spinics.net/lists/linux-8086/msg00532.html]Re: [PATCH 1 of 5], Gregg Levine
     * [https://www.spinics.net/lists/linux-8086/msg00497.html][PATCH 6 of 6], Juan Perez-Sanchez
