* [https://www.spinics.net/lists/arm-kernel/msg741994.html][PATCH] rqchip/stm32: Remove unneeded call to kfree, Hariprasad Kelam
* [https://www.spinics.net/lists/arm-kernel/msg741992.html][PATCH] SoC: rockchip-max98090: Remove MICBIAS as supply of input pin IN34, Enric Balletbo i Serra
* [https://www.spinics.net/lists/arm-kernel/msg741991.html][PATCH] SoC: rockchip: rockchip_max98090: Enable MICBIAS for headset keypress detection, Enric Balletbo i Serra
* [https://www.spinics.net/lists/arm-kernel/msg741990.html][PATCH] arm64: Force SSBS on context switch, Marc Zyngier
+ [https://www.spinics.net/lists/arm-kernel/msg741993.html]Re: [PATCH] arm64: Force SSBS on context switch, Neeraj Upadhyay
* [https://www.spinics.net/lists/arm-kernel/msg741978.html][PATCH v10 0/9] namei: openat2(2) path resolution restrictions, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741979.html][PATCH v10 1/9] namei: obey trailing magic-link DAC permissions, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741980.html][PATCH v10 2/9] procfs: switch magic-link modes to be more sane, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741981.html][PATCH v10 3/9] open: O_EMPTYPATH: procfs-less file descriptor re-opening, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741982.html][PATCH v10 4/9] namei: O_BENEATH-style path resolution flags, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741983.html][PATCH v10 5/9] namei: LOOKUP_IN_ROOT: chroot-like path resolution, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741984.html][PATCH v10 6/9] namei: aggressively check for nd->root escape on ".." resolution, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741985.html][PATCH v10 7/9] open: openat2(2) syscall, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741986.html][PATCH v10 8/9] kselftest: save-and-restore errno to allow for %m formatting, Aleksa Sarai
+ [https://www.spinics.net/lists/arm-kernel/msg741987.html][PATCH v10 9/9] selftests: add openat2(2) selftests, Aleksa Sarai
* [https://www.spinics.net/lists/arm-kernel/msg741971.html][PATCH v3 0/5] add coupled regulators for Exynos5422/5800, k . konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741968.html][PATCH v3 2/5] opp: core: add regulators enable and disable, k . konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741969.html][PATCH v3 1/5] devfreq: exynos-bus: correct clock enable sequence, k . konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741970.html][PATCH v3 5/5] dt-bindings: devfreq: exynos-bus: remove unused property, k . konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741972.html][PATCH v3 4/5] ARM: dts: exynos: add initial data for coupled regulators for Exynos5422/5800, k . konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741973.html][PATCH v3 3/5] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), k . konieczny
* [https://www.spinics.net/lists/arm-kernel/msg741961.html][RFC PATCH 0/2] serial: pl011: Fix TX dropping race, Dave Martin
+ [https://www.spinics.net/lists/arm-kernel/msg741962.html][RFC PATCH 1/2] serial: pl011: Fix dropping of TX chars due to irq race, Dave Martin
+ [https://www.spinics.net/lists/arm-kernel/msg741963.html][RFC PATCH 2/2] serial: pl011: Don't bother pushing more TX data while TX irq is active, Dave Martin
* [https://www.spinics.net/lists/arm-kernel/msg741950.html][PATCH v5 0/2] Add basic support for pico-pi-imx8m, andradanciu1997
+ [https://www.spinics.net/lists/arm-kernel/msg741951.html][PATCH v5 1/2] arm64: dts: fsl: pico-pi: Add a device tree for the PICO-PI-IMX8M, andradanciu1997
+ [https://www.spinics.net/lists/arm-kernel/msg741952.html][PATCH v5 2/2] dt-bindings: arm: fsl: Add the pico-pi-imx8m board, andradanciu1997
o [https://www.spinics.net/lists/arm-kernel/msg741966.html]Re: [PATCH v5 2/2] dt-bindings: arm: fsl: Add the pico-pi-imx8m board, Rob Herring
* [https://www.spinics.net/lists/arm-kernel/msg741948.html][PATCH] Input: touchscreen - Use dev_get_drvdata, Chuhong Yuan
* [https://www.spinics.net/lists/arm-kernel/msg741940.html][PATCH] Input: keyboard: Use dev_get_drv_data, Chuhong Yuan
* [https://www.spinics.net/lists/arm-kernel/msg741937.html][PATCH v4 0/2] Add basic support for pico-pi-imx8m, andradanciu1997
+ [https://www.spinics.net/lists/arm-kernel/msg741936.html][PATCH v4 2/2] dt-bindings: arm: fsl: Add the pico-pi-imx8m board, andradanciu1997
+ [https://www.spinics.net/lists/arm-kernel/msg741938.html][PATCH v4 1/2] arm64: dts: fsl: pico-pi: Add a device tree for the PICO-PI-IMX8M, andradanciu1997
o [https://www.spinics.net/lists/arm-kernel/msg741945.html]Re: [PATCH v4 1/2] arm64: dts: fsl: pico-pi: Add a device tree for the PICO-PI-IMX8M, Fabio Estevam
# [https://www.spinics.net/lists/arm-kernel/msg741947.html]Re: [PATCH v4 1/2] arm64: dts: fsl: pico-pi: Add a device tree for the PICO-PI-IMX8M, Andra Danciu
# [https://www.spinics.net/lists/arm-kernel/msg741949.html]Re: [PATCH v4 1/2] arm64: dts: fsl: pico-pi: Add a device tree for the PICO-PI-IMX8M, Daniel Baluta
* [https://www.spinics.net/lists/arm-kernel/msg741935.html][PATCH v2] arm: dts: imx6qdl: add gpio expander pca9535, Gilles DOFFE
* [https://www.spinics.net/lists/arm-kernel/msg741934.html][PATCH] drm/exynos: Use dev_get_drv_data, Chuhong Yuan
* [https://www.spinics.net/lists/arm-kernel/msg741908.html][PATCH] perf: imx8_ddr_perf: add AXI ID filter support, Joakim Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741929.html]Re: [PATCH] perf: imx8_ddr_perf: add AXI ID filter support, Robin Murphy
* [https://www.spinics.net/lists/arm-kernel/msg741902.html][PATCH v2 0/3] Add support for i.MXQXP AI_ML board, Manivannan Sadhasivam
+ [https://www.spinics.net/lists/arm-kernel/msg741903.html][PATCH v2 1/3] dt-bindings: Add Vendor prefix for Einfochips, Manivannan Sadhasivam
o [https://www.spinics.net/lists/arm-kernel/msg741964.html]Re: [PATCH v2 1/3] dt-bindings: Add Vendor prefix for Einfochips, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741904.html][PATCH v2 2/3] dt-bindings: arm: Document i.MX8QXP AI_ML board binding, Manivannan Sadhasivam
o [https://www.spinics.net/lists/arm-kernel/msg741965.html]Re: [PATCH v2 2/3] dt-bindings: arm: Document i.MX8QXP AI_ML board binding, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741905.html][PATCH v2 3/3] arm64: dts: freescale: Add support for i.MX8QXP AI_ML board, Manivannan Sadhasivam
* [https://www.spinics.net/lists/arm-kernel/msg741892.html][PATCH AUTOSEL 5.1 097/141] perf stat: Fix use-after-freed pointer detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741891.html][PATCH AUTOSEL 4.14 45/60] perf annotate: Fix dereferencing freed memory found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741890.html][PATCH AUTOSEL 4.14 44/60] perf session: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741889.html][PATCH AUTOSEL 4.19 076/101] perf hists browser: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741888.html][PATCH AUTOSEL 4.19 075/101] perf annotate: Fix dereferencing freed memory found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741887.html][PATCH AUTOSEL 4.19 074/101] perf session: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741886.html][PATCH AUTOSEL 4.19 073/101] perf top: Fix potential NULL pointer dereference detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741885.html][PATCH AUTOSEL 4.19 072/101] perf stat: Fix use-after-freed pointer detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741884.html][PATCH AUTOSEL 5.1 106/141] perf intel-bts: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741883.html][PATCH AUTOSEL 5.1 102/141] perf annotate: Fix dereferencing freed memory found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741882.html][PATCH AUTOSEL 5.1 103/141] perf hists browser: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741881.html][PATCH AUTOSEL 5.1 101/141] perf map: Fix potential NULL pointer dereference found by smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741880.html][PATCH AUTOSEL 5.1 100/141] perf session: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741879.html][PATCH AUTOSEL 5.1 099/141] perf trace: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741878.html][PATCH AUTOSEL 5.1 098/141] perf top: Fix potential NULL pointer dereference detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741877.html][PATCH AUTOSEL 5.2 133/171] perf intel-bts: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741876.html][PATCH AUTOSEL 5.2 130/171] perf hists browser: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741875.html][PATCH AUTOSEL 5.2 129/171] perf annotate: Fix dereferencing freed memory found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741874.html][PATCH AUTOSEL 5.2 128/171] perf map: Fix potential NULL pointer dereference found by smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741873.html][PATCH AUTOSEL 5.2 127/171] perf session: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741872.html][PATCH AUTOSEL 5.2 126/171] perf trace: Fix potential NULL pointer dereference found by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741871.html][PATCH AUTOSEL 5.2 125/171] perf top: Fix potential NULL pointer dereference detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741870.html][PATCH AUTOSEL 5.2 123/171] perf stat: Fix use-after-freed pointer detected by the smatch tool, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741869.html][PATCH v3] serial: 8250-mtk: modify mtk uart power and clock management, Changqi Hu
+ [https://www.spinics.net/lists/arm-kernel/msg741944.html]Re: [PATCH v3] serial: 8250-mtk: modify mtk uart power and clock management, Matthias Brugger
* [https://www.spinics.net/lists/arm-kernel/msg741862.html][PATCH] arm64: dts: imx8mm-evk: Remove invalid properties, Fabio Estevam
* [https://www.spinics.net/lists/arm-kernel/msg741852.html][PATCH] Enable backlight when trigger is activated, Pavel Machek
* [https://www.spinics.net/lists/arm-kernel/msg741810.html][PATCH] ARM: visit mach-* and plat-* directories when cleaning, Masahiro Yamada
* [https://www.spinics.net/lists/arm-kernel/msg741796.html][PATCH v1 0/11] drm: header maintenance, Sam Ravnborg
+ [https://www.spinics.net/lists/arm-kernel/msg741797.html][PATCH v1 01/11] drm/panel: make drm_panel.h self-contained, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741820.html]Re: [PATCH v1 01/11] drm/panel: make drm_panel.h self-contained, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741798.html][PATCH v1 02/11] drm: drop uapi dependency from drm_print.h, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741815.html]Re: [PATCH v1 02/11] drm: drop uapi dependency from drm_print.h, Chris Wilson
# [https://www.spinics.net/lists/arm-kernel/msg741899.html]Re: [PATCH v1 02/11] drm: drop uapi dependency from drm_print.h, Koenig, Christian
o [https://www.spinics.net/lists/arm-kernel/msg741821.html]Re: [PATCH v1 02/11] drm: drop uapi dependency from drm_print.h, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741799.html][PATCH v1 03/11] drm: drop uapi dependency from drm_vblank.h, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741822.html]Re: [PATCH v1 03/11] drm: drop uapi dependency from drm_vblank.h, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741800.html][PATCH v1 04/11] drm/ati_pcigart: drop dependency on drm_os_linux.h, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741825.html]Re: [PATCH v1 04/11] drm/ati_pcigart: drop dependency on drm_os_linux.h, Sean Paul
# [https://www.spinics.net/lists/arm-kernel/msg741839.html]Re: [PATCH v1 04/11] drm/ati_pcigart: drop dependency on drm_os_linux.h, Sam Ravnborg
@ [https://www.spinics.net/lists/arm-kernel/msg741843.html]Re: [PATCH v1 04/11] drm/ati_pcigart: drop dependency on drm_os_linux.h, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741801.html][PATCH v1 05/11] drm/vblank: drop use of DRM_WAIT_ON(), Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741826.html]Re: [PATCH v1 05/11] drm/vblank: drop use of DRM_WAIT_ON(), Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741802.html][PATCH v1 06/11] drm: direct include of drm.h in drm_gem.c, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741827.html]Re: [PATCH v1 06/11] drm: direct include of drm.h in drm_gem.c, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741803.html][PATCH v1 07/11] drm: direct include of drm.h in drm_gem_shmem_helper.c, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741829.html]Re: [PATCH v1 07/11] drm: direct include of drm.h in drm_gem_shmem_helper.c, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741804.html][PATCH v1 09/11] drm: direct include of drm.h in drm_syncobj.c, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741831.html]Re: [PATCH v1 09/11] drm: direct include of drm.h in drm_syncobj.c, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741805.html][PATCH v1 08/11] drm: direct include of drm.h in drm_prime.c, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741830.html]Re: [PATCH v1 08/11] drm: direct include of drm.h in drm_prime.c, Sean Paul
+ [https://www.spinics.net/lists/arm-kernel/msg741806.html][PATCH v1 10/11] drm/mediatek: direct include of drm.h in mtk_drm_gem.c, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741832.html]Re: [PATCH v1 10/11] drm/mediatek: direct include of drm.h in mtk_drm_gem.c, Sean Paul
o [https://www.spinics.net/lists/arm-kernel/msg741863.html]Re: [PATCH v1 10/11] drm/mediatek: direct include of drm.h in mtk_drm_gem.c, CK Hu
# [https://www.spinics.net/lists/arm-kernel/msg741864.html]Re: [PATCH v1 10/11] drm/mediatek: direct include of drm.h in mtk_drm_gem.c, CK Hu
+ [https://www.spinics.net/lists/arm-kernel/msg741807.html][PATCH v1 11/11] drm: drop uapi dependency from drm_file.h, Sam Ravnborg
o [https://www.spinics.net/lists/arm-kernel/msg741845.html]Re: [PATCH v1 11/11] drm: drop uapi dependency from drm_file.h, Sean Paul
o [https://www.spinics.net/lists/arm-kernel/msg741900.html]Re: [PATCH v1 11/11] drm: drop uapi dependency from drm_file.h, Koenig, Christian
# [https://www.spinics.net/lists/arm-kernel/msg741943.html]Re: [PATCH v1 11/11] drm: drop uapi dependency from drm_file.h, Sam Ravnborg
* [https://www.spinics.net/lists/arm-kernel/msg741787.html][PATCH 0/3] Add DSP node on i.MX8QXP board, Daniel Baluta
+ [https://www.spinics.net/lists/arm-kernel/msg741788.html][PATCH 1/3] clk: imx8: Add DSP related clocks, Daniel Baluta
+ [https://www.spinics.net/lists/arm-kernel/msg741789.html][PATCH 2/3] arm64: dts: imx8qxp: Add DSP DT node, Daniel Baluta
