* [https://www.spinics.net/lists/linux-arm/msg00066.html]Re: [PATCH] ARM: Mailing lists have moved, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00067.html]Re: [PATCH] ARM: Mailing lists have moved, David Woodhouse
o [https://www.spinics.net/lists/linux-arm/msg00068.html]Re: [PATCH] ARM: Mailing lists have moved, Bill Gatliff
# [https://www.spinics.net/lists/linux-arm/msg00069.html]Re: [PATCH] ARM: Mailing lists have moved, Catalin Marinas
# [https://www.spinics.net/lists/linux-arm/msg00070.html]Re: [PATCH] ARM: Mailing lists have moved, Bartlomiej Zolnierkiewicz
# [https://www.spinics.net/lists/linux-arm/msg00071.html]Re: [PATCH] ARM: Mailing lists have moved, David Woodhouse
@ [https://www.spinics.net/lists/linux-arm/msg00072.html]Re: [PATCH] ARM: Mailing lists have moved, Bill Gatliff
- [https://www.spinics.net/lists/linux-arm/msg00073.html]Re: [PATCH] ARM: Mailing lists have moved, Catalin Marinas
- [https://www.spinics.net/lists/linux-arm/msg00075.html]Re: [PATCH] ARM: Mailing lists have moved, David Woodhouse
= [https://www.spinics.net/lists/linux-arm/msg00076.html]Re: [PATCH] ARM: Mailing lists have moved, Paul Walmsley
= [https://www.spinics.net/lists/linux-arm/msg00077.html]Re: [PATCH] ARM: Mailing lists have moved, Joe Perches
* [https://www.spinics.net/lists/linux-arm/msg00078.html]Re: [PATCH] ARM: Mailing lists have moved, David Woodhouse
= [https://www.spinics.net/lists/linux-arm/msg00079.html]Re: [PATCH] ARM: Mailing lists have moved, Theodore Tso
o [https://www.spinics.net/lists/linux-arm/msg00074.html]Re: [PATCH] ARM: Mailing lists have moved, David John
* [https://www.spinics.net/lists/linux-arm/msg00047.html][PATCH v2 00/11] OMAP PM, clock, and SDRC updates for the 2.6.32 merge window, Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00048.html][PATCH v2 01/11] OMAP: powerdomain: Fix overflow when doing powerdomain deps lookups., Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00049.html][PATCH v2 03/11] OMAP3 clock: Fixed processing of bootarg 'mpurate', Paul Walmsley
+ [https://www.spinics.net/lists/linux-arm/msg00050.html][PATCH v2 04/11] OMAP clock: associate MPU clocks with the mpu_clkdm, Paul Walmsley
