* [https://www.spinics.net/lists/linux-isdn/msg00026.html][PATCH] isdn: reduce stack size of mISDN_dsp, Frank Seidel
+ [https://www.spinics.net/lists/linux-isdn/msg00027.html]Re: [PATCH] isdn: reduce stack size of mISDN_dsp, Karsten Keil
o [https://www.spinics.net/lists/linux-isdn/msg00028.html]Re: [PATCH] isdn: reduce stack size of mISDN_dsp, Frank Seidel
+ [https://www.spinics.net/lists/linux-isdn/msg00029.html][PATCHv2] isdn: reduce stack size of mISDN_dsp, Frank Seidel
o [https://www.spinics.net/lists/linux-isdn/msg00030.html]Re: [PATCHv2] isdn: reduce stack size of mISDN_dsp, Karsten Keil
* [https://www.spinics.net/lists/linux-isdn/msg00023.html][PATCH][trivial] mISDN: l1oip - reduce stack memory footprint, Frank Seidel
+ [https://www.spinics.net/lists/linux-isdn/msg00025.html]Re: [PATCH][trivial] mISDN: l1oip - reduce stack memory footprint, Andrew Morton
+ [https://www.spinics.net/lists/linux-isdn/msg00024.html]Re: [PATCH][trivial] mISDN: l1oip - reduce stack memory footprint, Karsten Keil
* [https://www.spinics.net/lists/linux-isdn/msg00017.html][PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Michael Borisov
+ [https://www.spinics.net/lists/linux-isdn/msg00018.html]Re: [PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Julia Lawall
o [https://www.spinics.net/lists/linux-isdn/msg00019.html]Re: [PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Michael Borisov
# [https://www.spinics.net/lists/linux-isdn/msg00020.html]Re: [PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Julia Lawall
+ [https://www.spinics.net/lists/linux-isdn/msg00021.html]Re: [PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Julia Lawall
o [https://www.spinics.net/lists/linux-isdn/msg00022.html]Re: [PATCH 1/14 v2] drivers/isdn/hisax/telespci.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00013.html][PATCH 14/14] drivers/isdn/hisax/enternow_pci.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00012.html][PATCH 13/14] drivers/isdn/hisax/w6692.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00011.html][PATCH 12/14] drivers/isdn/hisax/gazel.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00010.html][PATCH 11/14] drivers/isdn/hisax/bkm_a8.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00009.html][PATCH 10/14] drivers/isdn/hisax/bkm_a4t.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00008.html][PATCH 9/14] drivers/isdn/hisax/niccy.c:fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00007.html][PATCH 8/14] drivers/isdn/hisax/hfc_pci.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00006.html][PATCH 7/14] drivers/isdn/hisax/nj_u.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00005.html][PATCH 6/14] drivers/isdn/hisax/nj_s.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00004.html][PATCH 5/14] drivers/isdn/hisax/sedlbauer.c: fix warning, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00003.html][PATCH 4/14] drivers/isdn/hisax/diva.c: fix warnings, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00002.html][PATCH 3/14] drivers/isdn/hisax/elsa.c: fix warnings, Michael Borisov
* [https://www.spinics.net/lists/linux-isdn/msg00001.html][PATCH 2/14] drivers/isdn/hisax/avm_pci.c: fix warning, Michael Borisov
+ [https://www.spinics.net/lists/linux-isdn/msg00015.html]Re: [PATCH 2/14] drivers/isdn/hisax/avm_pci.c: fix warning, David Miller
* [https://www.spinics.net/lists/linux-isdn/msg00000.html][PATCH 1/14] drivers/isdn/hisax/telespci.c: fix warning, Michael Borisov
+ [https://www.spinics.net/lists/linux-isdn/msg00014.html]Re: [PATCH 1/14] drivers/isdn/hisax/telespci.c: fix warning, David Miller
o [https://www.spinics.net/lists/linux-isdn/msg00016.html]Re: [PATCH 1/14] drivers/isdn/hisax/telespci.c: fix warning, Matthew Wilcox
