* [https://www.spinics.net/lists/linux-leds/msg12844.html][PATCH AUTOSEL 5.2 091/171] dt-bindings: backlight: lm3630a: correct schema validation, Sasha Levin
* [https://www.spinics.net/lists/linux-leds/msg12843.html][PATCH] Enable backlight when trigger is activated, Pavel Machek
* [https://www.spinics.net/lists/linux-leds/msg12832.html][PATCH 0/1] Resend leds-lp5562 allow firmware files up to the maximum length, Nick Stoughton
+ [https://www.spinics.net/lists/linux-leds/msg12833.html][PATCH 1/1] leds: leds-lp5562 allow firmware files up to the maximum length, Nick Stoughton
o [https://www.spinics.net/lists/linux-leds/msg12834.html]Re: [PATCH 1/1] leds: leds-lp5562 allow firmware files up to the maximum length, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12821.html][PATCH v4 0/4] Add a generic driver for LED-based backlight, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12822.html][PATCH v4 2/4] leds: Add managed API to get a LED from a device driver, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12823.html][PATCH v4 1/4] leds: Add of_led_get() and led_put(), Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12824.html][PATCH v4 4/4] backlight: add led-backlight driver, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12825.html][PATCH v4 3/4] dt-bindings: backlight: Add led-backlight binding, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12838.html]Re: [PATCH v4 3/4] dt-bindings: backlight: Add led-backlight binding, Jacek Anaszewski
+ [https://www.spinics.net/lists/linux-leds/msg12839.html]Re: [PATCH v4 0/4] Add a generic driver for LED-based backlight, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12818.html][PATCH v3 0/3] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12817.html][PATCH v3 2/3] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
o [https://www.spinics.net/lists/linux-leds/msg12837.html]Re: [PATCH v3 2/3] leds: Add control of the voltage/current regulator to the LED core, Jacek Anaszewski
# [https://www.spinics.net/lists/linux-leds/msg12841.html]Re: [PATCH v3 2/3] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
@ [https://www.spinics.net/lists/linux-leds/msg12842.html]Re: [PATCH v3 2/3] leds: Add control of the voltage/current regulator to the LED core, Jacek Anaszewski
+ [https://www.spinics.net/lists/linux-leds/msg12819.html][PATCH v3 1/3] dt-bindings: leds: document the "power-supply" property, Jean-Jacques Hiblot
+ [https://www.spinics.net/lists/linux-leds/msg12820.html][PATCH v3 3/3] leds: Make led_set_brightness_sync() also use __led_set_brightness(), Jean-Jacques Hiblot
* [https://www.spinics.net/lists/linux-leds/msg12799.html][PATCH v2] leds: ns2: Add of_node_put() before return, Nishka Dasgupta
+ [https://www.spinics.net/lists/linux-leds/msg12801.html]Re: [PATCH v2] leds: ns2: Add of_node_put() before return, Jacek Anaszewski
* [https://www.spinics.net/lists/linux-leds/msg12788.html][PATCH v2 0/2] leds: Add control of the voltage/current regulator to the LED core, Jean-Jacques Hiblot
