* [https://www.spinics.net/lists/linux-pm/msg28520.html][PATCH] tracing: Remove unused clock events, Steven Rostedt
* [https://www.spinics.net/lists/linux-pm/msg28511.html]Re: [PATCH v2] drivers: psci: PSCI checker module, Lorenzo Pieralisi
+ [https://www.spinics.net/lists/linux-pm/msg28512.html]Re: [PATCH v2] drivers: psci: PSCI checker module, Geert Uytterhoeven
# [https://www.spinics.net/lists/linux-pm/msg28513.html]Re: [PATCH v2] drivers: psci: PSCI checker module, Geert Uytterhoeven
* [https://www.spinics.net/lists/linux-pm/msg28510.html]Re: [PATCH] drivers: psci: PSCI checker module, Lorenzo Pieralisi
* [https://www.spinics.net/lists/linux-pm/msg28501.html][PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Lianwei Wang
+ [https://www.spinics.net/lists/linux-pm/msg28502.html]Re: [PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Peter Zijlstra
o [https://www.spinics.net/lists/linux-pm/msg28503.html]Re: [PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Lianwei Wang
# [https://www.spinics.net/lists/linux-pm/msg28504.html]Re: [PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Peter Zijlstra
@ [https://www.spinics.net/lists/linux-pm/msg28506.html]Re: [PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Lianwei Wang
+ [https://www.spinics.net/lists/linux-pm/msg28505.html]Re: [PATCH] sched: idle: move need_resched check after function rcu_idle_enter, Peter Zijlstra
* [https://www.spinics.net/lists/linux-pm/msg28492.html][PATCH] [RFC] PM / Domains: multiple states, ahaslam
+ [https://www.spinics.net/lists/linux-pm/msg28490.html][PATCH 1/2] cpuidle: mvebu: Fix the CPU PM notifier usage, Daniel Lezcano
o [https://www.spinics.net/lists/linux-pm/msg28491.html][PATCH 2/2] cpuidle: mvebu: Update cpuidle thresholds for Armada XP SOCs, Daniel Lezcano
* [https://www.spinics.net/lists/linux-pm/msg28476.html][RFC PATCH 0/5] ACPI: thermal: Migrate cpufreq cooling to generic cpu_cooling layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28477.html][RFC PATCH 1/5] thermal: cpu_cooling: Support passing driver private data., Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28464.html]Re: [RFC PATCH 1/5] thermal: cpu_cooling: Support passing driver private data., Eduardo Valentin
# [https://www.spinics.net/lists/linux-pm/msg28469.html]Re: [RFC PATCH 1/5] thermal: cpu_cooling: Support passing driver private data., amit daniel kachhap
# [https://www.spinics.net/lists/linux-pm/msg28483.html]Re: [RFC PATCH 1/5] thermal: cpu_cooling: Support passing driver private data., Rafael J. Wysocki
@ [https://www.spinics.net/lists/linux-pm/msg28470.html]Re: [RFC PATCH 1/5] thermal: cpu_cooling: Support passing driver private data., amit daniel kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28478.html][RFC PATCH 2/5] thermal: cpu_cooling: Add notifications support for the clients, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28465.html]Re: [RFC PATCH 2/5] thermal: cpu_cooling: Add notifications support for the clients, Eduardo Valentin
# [https://www.spinics.net/lists/linux-pm/msg28471.html]Re: [RFC PATCH 2/5] thermal: cpu_cooling: Add notifications support for the clients, amit daniel kachhap
o [https://www.spinics.net/lists/linux-pm/msg28482.html]Re: [RFC PATCH 2/5] thermal: cpu_cooling: Add notifications support for the clients, Javi Merino
# [https://www.spinics.net/lists/linux-pm/msg28472.html]Re: [RFC PATCH 2/5] thermal: cpu_cooling: Add notifications support for the clients, amit daniel kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28479.html][RFC PATCH 3/5] thermal: cpu_cooling: Add support to find nearby frequency levels., Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg28466.html]Re: [RFC PATCH 3/5] thermal: cpu_cooling: Add support to find nearby frequency levels., Eduardo Valentin
# [https://www.spinics.net/lists/linux-pm/msg28475.html]Re: [RFC PATCH 3/5] thermal: cpu_cooling: Add support to find nearby frequency levels., amit daniel kachhap
+ [https://www.spinics.net/lists/linux-pm/msg28480.html][RFC PATCH 4/5] thermal: cpu_cooling: Release the upper cooling limit checks, Amit Daniel Kachhap
