* [https://www.spinics.net/lists/linux-soc/msg07293.html][PATCH] soc: qcom: msm_bus: initialize cldata->handle field, Lu Shuaibing
* [https://www.spinics.net/lists/linux-soc/msg07290.html][PATCH 1/2] drivers: qcom: rpmh-rsc: simplify TCS locking, Lina Iyer
+ [https://www.spinics.net/lists/linux-soc/msg07289.html][PATCH 2/2] drivers: qcom: rpmh-rsc: fix read back of trigger register, Lina Iyer
o [https://www.spinics.net/lists/linux-soc/msg07292.html]Re: [PATCH 2/2] drivers: qcom: rpmh-rsc: fix read back of trigger register, Lina Iyer
+ [https://www.spinics.net/lists/linux-soc/msg07291.html]Re: [PATCH 1/2] drivers: qcom: rpmh-rsc: simplify TCS locking, Lina Iyer
+ [https://www.spinics.net/lists/linux-soc/msg07307.html]Re: [PATCH 1/2] drivers: qcom: rpmh-rsc: simplify TCS locking, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07178.html][PATCH 0/6] Add minimal boot support for IPQ6018, Sricharan R
+ [https://www.spinics.net/lists/linux-soc/msg07179.html][PATCH 2/6] dt-bindings: qcom: Add ipq6018 bindings, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07208.html]Re: [PATCH 2/6] dt-bindings: qcom: Add ipq6018 bindings, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07216.html]Re: [PATCH 2/6] dt-bindings: qcom: Add ipq6018 bindings, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07261.html]Re: [PATCH 2/6] dt-bindings: qcom: Add ipq6018 bindings, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg07180.html][PATCH 3/6] clk: qcom: Add DT bindings for ipq6018 gcc clock controller, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07211.html]Re: [PATCH 3/6] clk: qcom: Add DT bindings for ipq6018 gcc clock controller, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07181.html][PATCH 1/6] pinctrl: qcom: Add ipq6018 pinctrl driver, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07207.html]Re: [PATCH 1/6] pinctrl: qcom: Add ipq6018 pinctrl driver, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07215.html]Re: [PATCH 1/6] pinctrl: qcom: Add ipq6018 pinctrl driver, Sricharan R
+ [https://www.spinics.net/lists/linux-soc/msg07182.html][PATCH 6/6] arm64: defconfig: Enable qcom ipq6018 clock and pinctrl, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07210.html]Re: [PATCH 6/6] arm64: defconfig: Enable qcom ipq6018 clock and pinctrl, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07183.html][PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07185.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Marc Zyngier
# [https://www.spinics.net/lists/linux-soc/msg07205.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07194.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Christian Lamparter
# [https://www.spinics.net/lists/linux-soc/msg07214.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
@ [https://www.spinics.net/lists/linux-soc/msg07218.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Christian Lamparter
- [https://www.spinics.net/lists/linux-soc/msg07231.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
= [https://www.spinics.net/lists/linux-soc/msg07234.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Christian Lamparter
* [https://www.spinics.net/lists/linux-soc/msg07260.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
+ [https://www.spinics.net/lists/linux-soc/msg07265.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Christian Lamparter
o [https://www.spinics.net/lists/linux-soc/msg07266.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07212.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07220.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
@ [https://www.spinics.net/lists/linux-soc/msg07221.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg07186.html]Re: [PATCH 0/6] Add minimal boot support for IPQ6018, Sricharan R
+ [https://www.spinics.net/lists/linux-soc/msg07204.html]Re: [PATCH 0/6] Add minimal boot support for IPQ6018, Linus Walleij
o [https://www.spinics.net/lists/linux-soc/msg07209.html]Re: [PATCH 4/6] clk: qcom: Add ipq6018 Global Clock Controller support, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07217.html]Re: [PATCH 4/6] clk: qcom: Add ipq6018 Global Clock Controller support, Sricharan R
@ [https://www.spinics.net/lists/linux-soc/msg07222.html]Re: [PATCH 4/6] clk: qcom: Add ipq6018 Global Clock Controller support, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg07187.html][PATCH 0/6] Add minimal boot support for IPQ6018, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07188.html][PATCH 1/6] pinctrl: qcom: Add ipq6018 pinctrl driver, Sricharan R
# [https://www.spinics.net/lists/linux-soc/msg07295.html]Re: [PATCH 1/6] pinctrl: qcom: Add ipq6018 pinctrl driver, Rob Herring
o [https://www.spinics.net/lists/linux-soc/msg07189.html][PATCH 3/6] clk: qcom: Add DT bindings for ipq6018 gcc clock controller, Sricharan R
# [https://www.spinics.net/lists/linux-soc/msg07296.html]Re: [PATCH 3/6] clk: qcom: Add DT bindings for ipq6018 gcc clock controller, Rob Herring
o [https://www.spinics.net/lists/linux-soc/msg07190.html][PATCH 2/6] dt-bindings: qcom: Add ipq6018 bindings, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07191.html][PATCH 6/6] arm64: defconfig: Enable qcom ipq6018 clock and pinctrl, Sricharan R
o [https://www.spinics.net/lists/linux-soc/msg07192.html][PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
# [https://www.spinics.net/lists/linux-soc/msg07193.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sudeep Holla
@ [https://www.spinics.net/lists/linux-soc/msg07206.html]Re: [PATCH 5/6] arm64: dts: Add ipq6018 SoC and CP01 board support, Sricharan R
# [https://www.spinics.net/lists/linux-soc/msg07219.html]Re: [PATCH 4/6] clk: qcom: Add ipq6018 Global Clock Controller support, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg07142.html][PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07137.html][PATCH v2 04/17] soc: qcom: ipa: configuration data, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07138.html][PATCH v2 13/17] soc: qcom: ipa: AP/modem communications, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07139.html][PATCH v2 17/17] arm64: defconfig: enable build of IPA code, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07140.html][PATCH v2 16/17] arm64: dts: sdm845: add IPA information, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07141.html][PATCH v2 15/17] MAINTAINERS: add entry for the Qualcomm IPA driver, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07143.html][PATCH v2 01/17] bitfield.h: add FIELD_MAX() and field_max(), Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07144.html][PATCH v2 03/17] soc: qcom: ipa: main code, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07160.html]Re: [PATCH v2 03/17] soc: qcom: ipa: main code, David Miller
# [https://www.spinics.net/lists/linux-soc/msg07162.html]Re: [PATCH v2 03/17] soc: qcom: ipa: main code, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07145.html][PATCH v2 05/17] soc: qcom: ipa: clocking, interrupts, and memory, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07146.html][PATCH v2 07/17] soc: qcom: ipa: the generic software interface, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07147.html][PATCH v2 12/17] soc: qcom: ipa: IPA network device and microcontroller, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07148.html][PATCH v2 14/17] soc: qcom: ipa: support build of IPA code, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07149.html][PATCH v2 10/17] soc: qcom: ipa: IPA endpoints, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07150.html][PATCH v2 11/17] soc: qcom: ipa: immediate commands, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07151.html][PATCH v2 09/17] soc: qcom: ipa: IPA interface to GSI, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07152.html][PATCH v2 08/17] soc: qcom: ipa: GSI transactions, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07153.html][PATCH v2 06/17] soc: qcom: ipa: GSI headers, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07154.html][PATCH v2 02/17] dt-bindings: soc: qcom: add IPA bindings, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07223.html]Re: [PATCH v2 02/17] dt-bindings: soc: qcom: add IPA bindings, Rob Herring
# [https://www.spinics.net/lists/linux-soc/msg07224.html]Re: [PATCH v2 02/17] dt-bindings: soc: qcom: add IPA bindings, Alex Elder
@ [https://www.spinics.net/lists/linux-soc/msg07294.html]Re: [PATCH v2 02/17] dt-bindings: soc: qcom: add IPA bindings, Alex Elder
+ [https://www.spinics.net/lists/linux-soc/msg07155.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07156.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
# [https://www.spinics.net/lists/linux-soc/msg07157.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
@ [https://www.spinics.net/lists/linux-soc/msg07158.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
- [https://www.spinics.net/lists/linux-soc/msg07159.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
= [https://www.spinics.net/lists/linux-soc/msg07161.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
* [https://www.spinics.net/lists/linux-soc/msg07203.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
- [https://www.spinics.net/lists/linux-soc/msg07164.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Bjorn Andersson
= [https://www.spinics.net/lists/linux-soc/msg07165.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Subash Abhinov Kasiviswanathan
* [https://www.spinics.net/lists/linux-soc/msg07166.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
+ [https://www.spinics.net/lists/linux-soc/msg07167.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07173.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
# [https://www.spinics.net/lists/linux-soc/msg07174.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
@ [https://www.spinics.net/lists/linux-soc/msg07176.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
- [https://www.spinics.net/lists/linux-soc/msg07177.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
= [https://www.spinics.net/lists/linux-soc/msg07202.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
* [https://www.spinics.net/lists/linux-soc/msg07225.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
+ [https://www.spinics.net/lists/linux-soc/msg07226.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07227.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07228.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Subash Abhinov Kasiviswanathan
o [https://www.spinics.net/lists/linux-soc/msg07229.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07230.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07232.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07233.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Arnd Bergmann
o [https://www.spinics.net/lists/linux-soc/msg07236.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07238.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Johannes Berg
o [https://www.spinics.net/lists/linux-soc/msg07243.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
o [https://www.spinics.net/lists/linux-soc/msg07244.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Dan Williams
o [https://www.spinics.net/lists/linux-soc/msg07267.html]Re: [PATCH v2 00/17] net: introduce Qualcomm IPA driver, Alex Elder
