* [https://www.spinics.net/lists/linux-watchdog/msg16226.html][PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Mark Balantzyan
+ [https://www.spinics.net/lists/linux-watchdog/msg16227.html]Re: [PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16222.html][PATCH 00/14] pending doc patches for 5.3-rc, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16223.html][PATCH 03/14] docs: fix broken doc references due to renames, Mauro Carvalho Chehab
o [https://www.spinics.net/lists/linux-watchdog/msg16224.html]Re: [PATCH 03/14] docs: fix broken doc references due to renames, Jerry Hoemann
* [https://www.spinics.net/lists/linux-watchdog/msg16219.html][PATCH] watchdog: digicolor_wdt: remove unused variable 'ret', YueHaibing
+ [https://www.spinics.net/lists/linux-watchdog/msg16220.html]Re: [PATCH] watchdog: digicolor_wdt: remove unused variable 'ret', Baruch Siach
* [https://www.spinics.net/lists/linux-watchdog/msg16214.html][PATCH] watchdog: digicolor_wdt: drop unused variable, Arnd Bergmann
+ [https://www.spinics.net/lists/linux-watchdog/msg16215.html]Re: [PATCH] watchdog: digicolor_wdt: drop unused variable, Baruch Siach
+ [https://www.spinics.net/lists/linux-watchdog/msg16216.html]Re: [PATCH] watchdog: digicolor_wdt: drop unused variable, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16210.html][PATCH] watchdog: digicolor_wdt: Remove unused variable in dc_wdt_probe, Nathan Chancellor
+ [https://www.spinics.net/lists/linux-watchdog/msg16212.html]Re: [PATCH] watchdog: digicolor_wdt: Remove unused variable in dc_wdt_probe, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16228.html]Re: [PATCH] watchdog: digicolor_wdt: Remove unused variable in dc_wdt_probe, Wolfram Sang
* [https://www.spinics.net/lists/linux-watchdog/msg16201.html][PATCH v3 0/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
+ [https://www.spinics.net/lists/linux-watchdog/msg16202.html][PATCH v3 1/4] watchdog: cadence_wdt: Move clock detection earlier in probe, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16207.html]Re: [PATCH v3 1/4] watchdog: cadence_wdt: Move clock detection earlier in probe, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16203.html][PATCH v3 2/4] watchdog: cadence_wdt: Calculate actual timeout limits, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16206.html]Re: [PATCH v3 2/4] watchdog: cadence_wdt: Calculate actual timeout limits, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16204.html][PATCH v3 3/4] watchdog: cadence_wdt: Group struct member init statements, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16208.html]Re: [PATCH v3 3/4] watchdog: cadence_wdt: Group struct member init statements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16205.html][PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16209.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg16211.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
@ [https://www.spinics.net/lists/linux-watchdog/msg16213.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Guenter Roeck
- [https://www.spinics.net/lists/linux-watchdog/msg16217.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
= [https://www.spinics.net/lists/linux-watchdog/msg16218.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16221.html]Re: [PATCH v3 4/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
* [https://www.spinics.net/lists/linux-watchdog/msg16200.html]Re: [PATCH v1 01/22] docs: Documentation/*.txt: rename all ReST files to *.rst, Rob Herring
* [https://www.spinics.net/lists/linux-watchdog/msg16198.html][PATCH RESEND] watchdog: sama5d4: fix WDD value to be always set to max, Eugen.Hristev
+ [https://www.spinics.net/lists/linux-watchdog/msg16199.html]Re: [PATCH RESEND] watchdog: sama5d4: fix WDD value to be always set to max, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16187.html][PATCH v2 0/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
+ [https://www.spinics.net/lists/linux-watchdog/msg16188.html][PATCH v2 1/4] watchdog: cadence_wdt: Move clock detection eariler in probe, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16194.html]Re: [PATCH v2 1/4] watchdog: cadence_wdt: Move clock detection eariler in probe, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16189.html][PATCH v2 2/4] watchdog: cadence_wdt: Calculate actual timeout limits, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16195.html]Re: [PATCH v2 2/4] watchdog: cadence_wdt: Calculate actual timeout limits, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16190.html][PATCH v2 3/4] watchdog: cadence_wdt: Group struct member init statements, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16196.html]Re: [PATCH v2 3/4] watchdog: cadence_wdt: Group struct member init statements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16191.html][PATCH v2 4/4] watchdog: cadence_wdt: Support all available prescaler values, Melin Tomas
o [https://www.spinics.net/lists/linux-watchdog/msg16197.html]Re: [PATCH v2 4/4] watchdog: cadence_wdt: Support all available prescaler values, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16183.html][PATCH 5/7] watchdog: ie6xx_wdt: Use spinlock_t instead of struct spinlock, Sebastian Andrzej Siewior
+ [https://www.spinics.net/lists/linux-watchdog/msg16193.html]Re: [PATCH 5/7] watchdog: ie6xx_wdt: Use spinlock_t instead of struct spinlock, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16180.html][PATCH 37/39] docs: adds some directories to the main documentation index, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16181.html]Re: [PATCH 37/39] docs: adds some directories to the main documentation index, Bartlomiej Zolnierkiewicz
* [https://www.spinics.net/lists/linux-watchdog/msg16179.html][PATCH 18/39] docs: admin-guide: add kdump documentation into it, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16184.html]Re: [PATCH 18/39] docs: admin-guide: add kdump documentation into it, Alex Shi
o [https://www.spinics.net/lists/linux-watchdog/msg16186.html]Re: [PATCH 18/39] docs: admin-guide: add kdump documentation into it, Dave Young
# [https://www.spinics.net/lists/linux-watchdog/msg16192.html]Re: [PATCH 18/39] docs: admin-guide: add kdump documentation into it, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16185.html]Re: [PATCH 18/39] docs: admin-guide: add kdump documentation into it, Dave Young
* [https://www.spinics.net/lists/linux-watchdog/msg16176.html][PATCH] watchdog: cadence: Support all available prescaler values, Melin Tomas
+ [https://www.spinics.net/lists/linux-watchdog/msg16177.html]Re: [PATCH] watchdog: cadence: Support all available prescaler values, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16178.html]Re: [PATCH] watchdog: cadence: Support all available prescaler values, Melin Tomas
* [https://www.spinics.net/lists/linux-watchdog/msg16170.html][PATCH] watchdog: convert remaining drivers to use SPDX license identifier, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16171.html]Re: [PATCH] watchdog: convert remaining drivers to use SPDX license identifier, Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16172.html]Re: [PATCH] watchdog: convert remaining drivers to use SPDX license identifier, Sylvain Lemieux
+ [https://www.spinics.net/lists/linux-watchdog/msg16174.html]Re: [PATCH] watchdog: convert remaining drivers to use SPDX license identifier, Matthias Brugger
+ [https://www.spinics.net/lists/linux-watchdog/msg16175.html]Re: [PATCH] watchdog: convert remaining drivers to use SPDX license identifier, William Breathitt Gray
* [https://www.spinics.net/lists/linux-watchdog/msg16168.html][PATCH] watchdog: wdat_wdt: Convert to use SPDX identifier, Mika Westerberg
+ [https://www.spinics.net/lists/linux-watchdog/msg16169.html]Re: [PATCH] watchdog: wdat_wdt: Convert to use SPDX identifier, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16166.html][PATCH v1 12/22] docs: driver-api: add .rst files from the main dir, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg16165.html][PATCH v1 22/22] admin-guide: add kdump documentation into it, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg16159.html][PATCH] watchdog: mei_wdt: no need to check return value of debugfs_create functions, Greg Kroah-Hartman
+ [https://www.spinics.net/lists/linux-watchdog/msg16161.html]Re: [PATCH] watchdog: mei_wdt: no need to check return value of debugfs_create functions, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16162.html]RE: [PATCH] watchdog: mei_wdt: no need to check return value of debugfs_create functions, Winkler, Tomas
# [https://www.spinics.net/lists/linux-watchdog/msg16163.html]Re: [PATCH] watchdog: mei_wdt: no need to check return value of debugfs_create functions, Greg Kroah-Hartman
@ [https://www.spinics.net/lists/linux-watchdog/msg16164.html]RE: [PATCH] watchdog: mei_wdt: no need to check return value of debugfs_create functions, Winkler, Tomas
* [https://www.spinics.net/lists/linux-watchdog/msg16158.html][PATCH] watchdog: bcm_kona_wdt: no need to check return value of debugfs_create functions, Greg Kroah-Hartman
+ [https://www.spinics.net/lists/linux-watchdog/msg16160.html]Re: [PATCH] watchdog: bcm_kona_wdt: no need to check return value of debugfs_create functions, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16154.html][PATCH] dt-bindings: watchdog: Rename bindings documentation file, Simon Horman
+ [https://www.spinics.net/lists/linux-watchdog/msg16156.html]Re: [PATCH] dt-bindings: watchdog: Rename bindings documentation file, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16157.html]Re: [PATCH] dt-bindings: watchdog: Rename bindings documentation file, Niklas Söderlund
* [https://www.spinics.net/lists/linux-watchdog/msg16145.html][PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
+ [https://www.spinics.net/lists/linux-watchdog/msg16146.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16147.html]RE: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
# [https://www.spinics.net/lists/linux-watchdog/msg16148.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Alexandre Belloni
@ [https://www.spinics.net/lists/linux-watchdog/msg16149.html]RE: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
- [https://www.spinics.net/lists/linux-watchdog/msg16150.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Alexandre Belloni
= [https://www.spinics.net/lists/linux-watchdog/msg16151.html]RE: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
* [https://www.spinics.net/lists/linux-watchdog/msg16153.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg16167.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Alexandre Belloni
+ [https://www.spinics.net/lists/linux-watchdog/msg16182.html]Re: [PATCH v2 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16142.html][PATCH 0/1] docs: watchdog: make htmldocs failed., Jerry Hoemann
+ [https://www.spinics.net/lists/linux-watchdog/msg16136.html]Re: [PATCH 0/1] docs: watchdog: make htmldocs failed., Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16141.html][PATCH 1/1] docs: watchdog: Fix build error., Jerry Hoemann
o [https://www.spinics.net/lists/linux-watchdog/msg16137.html]Re: [PATCH 1/1] docs: watchdog: Fix build error., Mauro Carvalho Chehab
o [https://www.spinics.net/lists/linux-watchdog/msg16140.html]Re: [PATCH 1/1] docs: watchdog: Fix build error., Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16135.html][PATCH v4 25/28] docs: watchdog: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg16134.html][PATCH v4 13/28] docs: kdump: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg16131.html][PATCH v1 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
+ [https://www.spinics.net/lists/linux-watchdog/msg16132.html]Re: [PATCH v1 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg16133.html]RE: [PATCH v1 1/1] watchdog: atmel: atmel-sama5d4-wdt: Disable watchdog on system suspend, Ken Sloat
* [https://www.spinics.net/lists/linux-watchdog/msg16121.html][PATCH v3 30/33] docs: watchdog: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg16122.html]Re: [PATCH v3 30/33] docs: watchdog: convert docs to ReST and rename to *.rst, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg16120.html][PATCH v3 15/33] docs: kdump: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
