* [https://www.spinics.net/lists/openconnect/msg05139.html][PATCH] Add Keychain support, Yoshimasa Niwa
+ [https://www.spinics.net/lists/openconnect/msg05140.html][PATCH] Add Keychain support, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg05141.html][PATCH] Add Keychain support, Yoshimasa Niwa
# [https://www.spinics.net/lists/openconnect/msg05142.html][PATCH] Add Keychain support, Yoshimasa Niwa
# [https://www.spinics.net/lists/openconnect/msg05143.html][PATCH] Add Keychain support, David Woodhouse
@ [https://www.spinics.net/lists/openconnect/msg05144.html][PATCH] Add Keychain support, Yoshimasa Niwa
- [https://www.spinics.net/lists/openconnect/msg05145.html][PATCH] Add Keychain support, David Woodhouse
= [https://www.spinics.net/lists/openconnect/msg05147.html][PATCH] Add Keychain support, Yoshimasa Niwa
* [https://www.spinics.net/lists/openconnect/msg05074.html][PATCH] Add Keychain support, David Woodhouse
+ [https://www.spinics.net/lists/openconnect/msg05075.html][PATCH] Add Keychain support, Yoshimasa Niwa
o [https://www.spinics.net/lists/openconnect/msg05148.html][PATCH] Add Keychain support, Yoshimasa Niwa
# [https://www.spinics.net/lists/openconnect/msg05076.html][PATCH] Add Keychain support, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg05077.html][PATCH] Add Keychain support, David Woodhouse
o [https://www.spinics.net/lists/openconnect/msg05095.html][PATCH] Add Keychain support, Nikos Mavrogiannopoulos
# [https://www.spinics.net/lists/openconnect/msg05097.html][PATCH] Add Keychain support, Yoshimasa Niwa
@ [https://www.spinics.net/lists/openconnect/msg05305.html]Re: [PATCH] Add Keychain support, Yoshimasa Niwa
* [https://www.spinics.net/lists/openconnect/msg05172.html][PATCH] append multiple search domains to CISCO_DEF_DOMAIN, Daniel Sampliner
+ [https://www.spinics.net/lists/openconnect/msg05176.html][PATCH] append multiple search domains to CISCO_DEF_DOMAIN, Daniel Lenski
o [https://www.spinics.net/lists/openconnect/msg05100.html][PATCH] append multiple search domains to CISCO_DEF_DOMAIN, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg05167.html][PATCH] chg: add --version-string and optional detailed platform info, Ralph Schmieder
+ [https://www.spinics.net/lists/openconnect/msg05168.html][PATCH] chg: add --version-string and optional detailed platform info, rschmied at janus.inka.de
o [https://www.spinics.net/lists/openconnect/msg05169.html][PATCH] chg: add --version-string and optional detailed platform info, Ralph Schmieder
o [https://www.spinics.net/lists/openconnect/msg05119.html][PATCH] chg: add --version-string and optional detailed platform info, David Woodhouse
# [https://www.spinics.net/lists/openconnect/msg05120.html][PATCH] chg: add --version-string and optional detailed platform info, David Woodhouse
* [https://www.spinics.net/lists/openconnect/msg05160.html][PATCH] GlobalProtect: always set clientos=Windows in relevant requests, regardless of actual OS, Daniel Lenski
* [https://www.spinics.net/lists/openconnect/msg05151.html][PATCH] Toggle TAP status to force Windows to re-run NLA, Kyle Johnson
* [https://www.spinics.net/lists/openconnect/msg05150.html][PATCH] Windows VPN connection script fix to set default domain for DNS, Kyle Johnson
* [https://www.spinics.net/lists/openconnect/msg05149.html][PATCH] Windows VPN connection script doesn't properly set IPv6 split routing, Kyle Johnson
* [https://www.spinics.net/lists/openconnect/msg04725.html][PATCH] Use systemd-resolve to check if resolved is running, Trygve Aaberge
* [https://www.spinics.net/lists/openconnect/msg04721.html][PATCH] Fix IPv6 split tunnel route additions, Alexander Huynh
+ [https://www.spinics.net/lists/openconnect/msg04727.html][PATCH] Fix IPv6 split tunnel route additions, Alexander Huynh
* [https://www.spinics.net/lists/openconnect/msg04716.html][PATCH 0/5] add multi-protocol support to JNI interface and Java test application, Daniel Lenski
