+ [https://www.spinics.net/lists/pjsip/msg20732.html][PATCH] minor typo fix: s/,/;/, jrun
* [https://www.spinics.net/lists/pjsip/msg20542.html][PATCH] pjmedia: alsa_dev: always list all devices, Tobias Schneider
+ [https://www.spinics.net/lists/pjsip/msg20543.html]Re: [PATCH] pjmedia: alsa_dev: always list all devices, Ming
o [https://www.spinics.net/lists/pjsip/msg20548.html]Re: [PATCH] pjmedia: alsa_dev: always list all devices, Tobias Schneider
# [https://www.spinics.net/lists/pjsip/msg20552.html]Re: [PATCH] pjmedia: alsa_dev: always list all devices, Ming
o [https://www.spinics.net/lists/pjsip/msg20538.html]Re: [PATCH] Bug in sending heart-beat / silence frame / jitterbuffer, Tobias Schneider
o [https://www.spinics.net/lists/pjsip/msg20539.html]Re: [PATCH] Bug in sending heart-beat / silence frame / jitterbuffer, Tobias Schneider
# [https://www.spinics.net/lists/pjsip/msg20541.html]Re: [PATCH] Bug in sending heart-beat / silence frame / jitterbuffer, Ming
@ [https://www.spinics.net/lists/pjsip/msg20562.html]Re: [PATCH] Bug in sending heart-beat / silence frame / jitterbuffer, Tobias Schneider
* [https://www.spinics.net/lists/pjsip/msg20443.html][PATCH] global-buffer-overflow in tls_init (pjlib/src/pj/ssl_sock_gtls.c), Hugo Lefeuvre
+ [https://www.spinics.net/lists/pjsip/msg20684.html][PATCH] global-buffer-overflow in tls_init (pjlib/src/pj/ssl_sock_gtls.c), Hugo Lefeuvre
* [https://www.spinics.net/lists/pjsip/msg20306.html][PATCH 1/1] fix building against external portaudio, Adam Duskett
* [https://www.spinics.net/lists/pjsip/msg20296.html][PATCH 1/1] add libressl support, Adam Duskett
+ [https://www.spinics.net/lists/pjsip/msg20297.html]Re: [PATCH 1/1] add libressl support, Adonay Felipe Nogueira
* [https://www.spinics.net/lists/pjsip/msg20238.html][PATCH][pjsua-lib] Destroy port passed to pjsua_callback::on_stream_created(), b17 c0de
* [https://www.spinics.net/lists/pjsip/msg20234.html][PATCH] [pjmedia-codec] Fix pjmedia_codec_ilbc_init(), b17 c0de
+ [https://www.spinics.net/lists/pjsip/msg20235.html]Re: [PATCH] [pjmedia-codec] Fix pjmedia_codec_ilbc_init(), Ming
o [https://www.spinics.net/lists/pjsip/msg20236.html]Re: [PATCH] [pjmedia-codec] Fix pjmedia_codec_ilbc_init(), b17 c0de
# [https://www.spinics.net/lists/pjsip/msg20237.html]Re: [PATCH] [pjmedia-codec] Fix pjmedia_codec_ilbc_init(), Ming
* [https://www.spinics.net/lists/pjsip/msg20231.html][PATCH] [pjmedia] Reset conf port rx_level for other frame types, b17 c0de
+ [https://www.spinics.net/lists/pjsip/msg20300.html]Re: [PATCH] [pjmedia] Reset conf port rx_level for other frame types, Riza Sulistyo
* [https://www.spinics.net/lists/pjsip/msg20229.html][PATCH] [pjmedia] Improve conference mix loop performance, b17 c0de
+ [https://www.spinics.net/lists/pjsip/msg20251.html]Re: [PATCH] [pjmedia] Improve conference mix loop performance, b17 c0de
o [https://www.spinics.net/lists/pjsip/msg20274.html]Re: [PATCH] [pjmedia] Improve conference mix loop performance, Ming
