* [https://www.spinics.net/lists/rpm/msg07882.html][PATCH] Detect arm armv6hl, armv7hl and armv7hnl machines, Lubomir Rintel
+ [https://www.spinics.net/lists/rpm/msg07883.html]Re: [PATCH] Detect arm armv6hl, armv7hl and armv7hnl machines, Panu Matilainen
* [https://www.spinics.net/lists/rpm/msg07814.html][PATCH] List files along with their languages, Łukasz Stelmach
* [https://www.spinics.net/lists/rpm/msg07748.html][PATCH 1/2] Update support to installplatform and rpmrc for ppc64le, Tony Breeds
+ [https://www.spinics.net/lists/rpm/msg07749.html][PATCH 2/2] rpmrc: Not all linux powerpc builds are big endian., Tony Breeds
o [https://www.spinics.net/lists/rpm/msg07752.html]Re: [PATCH 2/2] rpmrc: Not all linux powerpc builds are big endian., Panu Matilainen
# [https://www.spinics.net/lists/rpm/msg07753.html]Re: [PATCH 2/2] rpmrc: Not all linux powerpc builds are big endian., Tony Breeds
* [https://www.spinics.net/lists/rpm/msg07704.html][PATCH] Include %{VCS} in src.rpm, Alexander Kanevskiy
* [https://www.spinics.net/lists/rpm/msg07636.html][PATCH] Adjust rpmspec -P to invoke non-build parse, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07638.html]Re: [PATCH] Adjust rpmspec -P to invoke non-build parse, Panu Matilainen
* [https://www.spinics.net/lists/rpm/msg07634.html][PATCH] Warn when macro options evaporate silently, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07635.html]Re: [PATCH] Warn when macro options evaporate silently, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07639.html]Re: [PATCH] Warn when macro options evaporate silently, Panu Matilainen
o [https://www.spinics.net/lists/rpm/msg07643.html]Re: [PATCH] Warn when macro options evaporate silently, Alexey Tourbin
* [https://www.spinics.net/lists/rpm/msg07632.html][PATCH] Stricter macro substitution syntax, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07633.html]Re: [PATCH] Stricter macro substitution syntax, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07640.html]Re: [PATCH] Stricter macro substitution syntax, Panu Matilainen
o [https://www.spinics.net/lists/rpm/msg07642.html]Re: [PATCH] Stricter macro substitution syntax, Alexey Tourbin
* [https://www.spinics.net/lists/rpm/msg07630.html][PATCH] Warn when whitespace is missing before macro body, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07631.html]Re: [PATCH] Warn when whitespace is missing before macro body, Alexey Tourbin
+ [https://www.spinics.net/lists/rpm/msg07637.html]Re: [PATCH] Warn when whitespace is missing before macro body, Panu Matilainen
o [https://www.spinics.net/lists/rpm/msg07641.html]Re: [PATCH] Warn when whitespace is missing before macro body, Alexey Tourbin
